"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
560;281;"no_change";"cpu";3.93;65.17;5.7;0.0;"";"";"";"281";"2026-06-20 14:32:17"
562;282;"scale_down";"cpu";1.46;27.37;1.6;50.0;"";"";"";"282";"2026-06-20 14:35:18"
564;283;"scale_down";"cpu";2.57;42.4;4.63;50.0;"";"";"";"283";"2026-06-20 14:35:19"
566;284;"scale_down";"cpu";3.92;58.1;6.35;25.0;"";"";"";"284";"2026-06-20 14:35:19"
568;285;"no_change";"cpu";8.62;81.93;12.84;0.0;"";"";"";"285";"2026-06-20 14:35:19"
570;286;"no_change";"cpu";4.28;70.23;5.07;0.0;"";"";"";"286";"2026-06-20 14:36:47"
572;287;"scale_down";"cpu";3.49;24.8;3.44;50.0;"";"";"";"287";"2026-06-20 14:39:48"
574;288;"scale_down";"cpu";1.03;10.2;2.42;50.0;"";"";"";"288";"2026-06-20 14:39:48"
576;289;"scale_down";"cpu";1.1;8.67;1.0;50.0;"";"";"";"289";"2026-06-20 14:39:48"
578;290;"scale_down";"cpu";5.3;24.0;1.2;50.0;"";"";"";"290";"2026-06-20 14:39:48"
580;291;"scale_down";"cpu";1.03;10.7;1.42;50.0;"";"";"";"291";"2026-06-20 14:41:28"
582;292;"scale_down";"cpu";7.39;59.9;3.92;25.0;"";"";"";"292";"2026-06-20 14:44:30"
584;293;"no_change";"cpu";7.8;77.8;7.2;0.0;"";"";"";"293";"2026-06-20 14:44:30"
586;294;"scale_down";"cpu";18.74;50.03;33.88;25.0;"";"";"";"294";"2026-06-20 14:44:30"
588;295;"scale_down";"cpu";15.81;59.33;1.4;25.0;"";"";"";"295";"2026-06-20 14:44:30"
590;296;"no_change";"cpu";10.06;88.2;9.11;0.0;"";"";"";"296";"2026-06-20 14:46:06"
592;297;"scale_down";"cpu";1.11;16.37;1.32;50.0;"";"";"";"297";"2026-06-20 14:49:08"
594;298;"scale_down";"cpu";2.75;22.83;1.02;50.0;"";"";"";"298";"2026-06-20 14:49:08"
596;299;"no_change";"cpu";10.49;69.03;13.45;0.0;"";"";"";"299";"2026-06-20 14:49:08"
598;300;"scale_down";"cpu";4.58;47.9;1.5;25.0;"";"";"";"300";"2026-06-20 14:49:08"
600;301;"scale_down";"cpu";4.99;38.37;6.53;50.0;"";"";"";"301";"2026-06-20 14:50:46"
602;302;"scale_down";"cpu";1.81;33.93;1.89;50.0;"";"";"";"302";"2026-06-20 14:53:47"
604;303;"scale_down";"cpu";8.19;23.9;12.04;50.0;"";"";"";"303";"2026-06-20 14:53:47"
606;304;"no_change";"cpu";21.96;80.27;28.53;0.0;"";"";"";"304";"2026-06-20 14:53:47"
608;305;"scale_down";"cpu";5.49;46.83;3.8;25.0;"";"";"";"305";"2026-06-20 14:53:47"
