"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
451;"host501";4;2;65536;"Hyper-v";"no_change"
452;"host502";4;2;65536;"Hyper-v";"no_change"
453;"host503";4;1;32768;"Hyper-v";"no_change"
454;"host504";4;1;16384;"Hyper-v";"no_change"
455;"host505";4;1;15950;"Hyper-v";"no_change"
456;"host506";1;2;8192;"Hyper-v";"no_change"
457;"host507";2;16;262112;"Hyper-v";"no_change"
458;"host508";2;2;16384;"Hyper-v";"no_change"
459;"host509";8;4;65536;"Hyper-v";"no_change"
460;"host510";2;12;131072;"Hyper-v";"no_change"
461;"host511";2;3;16384;"Hyper-v";"no_change"
462;"host512";6;2;16384;"Hyper-v";"no_change"
463;"host513";2;1;7654;"Hyper-v";"no_change"
464;"host514";2;4;24576;"Hyper-v";"no_change"
465;"host515";5;2;32768;"Hyper-v";"no_change"
466;"host516";2;16;128274;"Hyper-v";"no_change"
467;"host517";2;4;63762;"Hyper-v";"no_change"
468;"host518";1;4;15706;"Hyper-v";"no_change"
469;"host519";1;2;3666;"Hyper-v";"no_change"
470;"host520";1;3;8192;"Hyper-v";"no_change"
471;"host521";2;4;64306;"Hyper-v";"no_change"
472;"host522";2;1;15762;"Hyper-v";"no_change"
473;"host523";4;1;63890;"Hyper-v";"no_change"
474;"host524";2;2;7698;"Hyper-v";"no_change"
475;"host525";32;1;31882;"Hyper-v";"no_change"
476;"host526";1;2;7698;"Hyper-v";"no_change"
